Musician,sub,scramble,16,8,5,4,3,2,1
Yes,20,Intact,0.140754244,0.038064796,0.039332474,0.037826742,-0.005118501,-0.031298753,0.052462575
Yes,20,8B,-0.059550898,-0.071562108,-0.077057738,-0.078154853,-0.083798634,-0.083901168,-0.026927011
Yes,20,2B,-0.066857143,-0.081454545,0.046266667,-0.092,-0.092,-0.0996,0.012811594
Yes,20,1B,-0.074888858,-0.107219817,0.111130125,-0.131454155,0.074103181,-0.043705677,0.03415456
No,20,Intact,-0.079018509,0.026179763,-0.108494262,-0.040109161,-0.111978903,-0.080406942,-0.089946476
No,20,8B,0.180308224,0.297324689,-0.09099823,0.120951393,-0.0944824,0.016639747,-0.016776895
No,20,2B,-0.098191563,-0.047645824,-0.098386348,-0.060490457,-0.050000614,-0.020437102,-0.056983547
No,20,1B,-0.097344599,-0.055487704,-0.19966422,-0.141887721,-0.045784191,-0.128300551,-0.037477603
Yes,21,Intact,0.025330731,-0.021962796,-0.08887267,-0.060513369,-0.042642829,-0.00516339,0.043211082
Yes,21,8B,0.131602933,0.02473272,-0.097207325,0.111393684,-0.045249165,0.053210402,-0.017260694
Yes,21,2B,-0.084,-0.114329011,0.092575538,-0.150776707,0.054730461,-0.124953199,-0.026921501
Yes,21,1B,-0.092549125,-0.034768328,-0.08768882,0.050234539,-0.14456974,-0.043220946,0.007205877
No,21,Intact,-0.061444444,-0.074133333,-0.079666667,-0.041888889,-0.053869971,-0.065823529,-0.057890547
No,21,8B,-0.062857143,0.1,0.0516,0.008210526,-0.0132,-0.041142857,0.040347826
No,21,2B,-0.065189628,-0.086921202,-0.095605301,0.011137692,-0.105397214,0.000532282,-0.060344811
No,21,1B,-0.065106542,-0.077819952,0.055571708,-0.093652219,-0.022776229,-0.031813351,-0.044411407
Yes,22,Intact,0.055048837,-0.041923979,-0.013687023,0.042064664,-0.018516648,0.003751724,-0.009926345
Yes,22,8B,-0.0894,-0.118285714,-0.132888889,-0.147454545,0.136740741,-0.070162162,0.036869565
Yes,22,2B,-0.092363594,-0.144153452,0.01898739,-0.195358101,0.043282678,0.059474035,0.043260579
Yes,22,1B,-0.090109661,0.113986906,-0.056462443,0.057312517,0.078892876,0.11329485,0.062681974
No,22,Intact,0.200734669,0.089656678,-0.005130829,0.048448844,-0.007022454,0,-0.013290407
No,22,8B,-0.036526027,-0.046225425,-0.049176944,-0.047605115,0.027698925,0.009133219,-0.024639689
No,22,2B,-0.060382606,-0.082015897,0.03458848,0.052433376,0.143028317,0.029736173,0.021200929
No,22,1B,-0.064,-0.077090909,-0.086133333,-0.086339702,-0.095920577,0.017200342,-0.044099827
Yes,23,Intact,-0.046035099,-0.043421053,-0.049853988,-0.049996752,-0.022430676,0.00734657,0.00744624
Yes,23,8B,-0.0304,-0.031777778,-0.036461538,-0.033882353,-0.034347826,-0.035818182,-0.035343284
Yes,23,2B,-0.049333333,-0.0608,-0.063714286,-0.066444444,0.099666667,-0.070705882,-0.013411765
Yes,23,1B,-0.039152882,-0.046357143,-0.046172414,-0.049461095,-0.050151949,-0.049980131,-0.023735218
No,23,Intact,-0.109159826,0.014529071,0.099926768,-0.029503367,-0.00632585,-0.068867163,0.011719718
No,23,8B,0.138742486,0.039987654,0.098839286,-0.053021764,-0.008748375,-0.056056331,-0.037871166
No,23,2B,-0.083516498,-0.11779954,-0.037156863,-0.164076436,0.030807023,-0.07981489,-0.039356595
No,23,1B,0.092760126,0.001077199,-0.148709648,-0.077080279,0.175491995,0.015932287,0.013307058
Yes,24,Intact,-0.091188782,-0.070032462,0.145769004,-0.051935411,0.021809089,-0.022941513,-0.010379223
Yes,24,8B,-0.074,0.066333333,0.02025,-0.0154,0.033769231,-0.0735,-0.020971429
Yes,24,2B,0.164571429,0.052691122,0.02735213,0.070748515,0.010432469,0.025901345,0.009870132
Yes,24,1B,-0.08618662,-0.133110995,0.15486844,-0.17375153,-0.190587005,-0.154128948,-0.093061121
No,24,Intact,0.164578569,0.06371899,0.035842939,-0.02259908,-0.041611912,0.055179446,0.03824655
No,24,8B,-0.049998885,-0.054141061,0.201387283,-0.067687114,-0.066506479,-0.008579202,-0.012002814
No,24,2B,-0.07276224,-0.093907406,-0.107453007,-0.009386616,0.023850406,-0.073560496,-0.015738181
No,24,1B,-0.06813451,-0.084534339,0.031924105,-0.107253636,-0.028200602,-0.055748477,-0.059950243
Yes,25,Intact,0.096714199,0.100165177,-0.170442224,0.065920541,-0.045881733,0.00503039,-0.000822717
Yes,25,8B,0.05575,0.32425,-0.10575,0.14035,-0.046852415,0.042596447,-0.018854492
Yes,25,2B,-0.093752499,-0.017282778,0.220926901,0.088526919,-0.003207606,0.03601748,0.082339483
Yes,25,1B,-0.058081429,-0.081215186,0.024858044,-0.000864566,0.041621238,0.052281435,0.024234191
No,25,Intact,-0.019556563,-0.051327349,0.032268136,-0.010432656,0.003244257,0.000952045,-0.016549724
No,25,8B,-0.09550911,0.199625383,0.100033252,0.103902708,-0.2291208,-0.013681987,0.043436023
No,25,2B,-0.031934524,0.093753671,0.150566028,0.22026289,0.053494747,0.328735048,0.080248435
No,25,1B,0.058923077,0.078235294,-0.172952381,0.11832,-0.09,-0.041609756,-0.058373333
Yes,26,Intact,-0.067210498,-0.001748148,0.007562257,0.005009191,-0.128589743,-0.030083092,-0.007945551
Yes,26,8B,0.363142857,0.643636364,-0.087066667,0.332894737,-0.013834394,0.19479508,0.045092075
Yes,26,2B,0.208648152,0.182119159,0.193913467,0.257006503,-0.051094866,0.217392482,0.074241706
Yes,26,1B,-0.099392338,0.022361715,0.088317779,0.175789032,0.117519804,0.238712735,0.101707072
No,26,Intact,0.607511103,0.319473393,0.004144737,0.18191821,-0.024553559,0.067624953,0.036164547
No,26,8B,0.222857143,0.65,-0.081866667,0.328,-0.01608,0.132,0.041275362
No,26,2B,-0.080696199,-0.111112555,0.100274087,-0.150805274,-0.008075236,-0.110837996,-0.034217318
No,26,1B,0.15313048,0.245976593,0.023658195,0.093753285,-0.118948097,0.040129912,0.010766572
Yes,27,Intact,-0.109156884,-0.03793719,-0.130216998,-0.046693776,0.044435049,-0.033742513,-0.019426103
Yes,27,8B,-0.08161502,0.000125246,0.059144093,0.00756533,0.115334864,0.160688496,0.066150762
Yes,27,2B,-0.090257928,-0.011976096,0.044502333,0.079572746,0.079713549,0.138342384,0.092920981
Yes,27,1B,-0.086029583,-0.125755917,0.077460766,-0.071168021,-0.02913896,-0.134753429,0.014656207
No,27,Intact,-0.044,-0.062,-0.064571429,-0.058222222,-0.068333333,-0.069882353,-0.071058824
No,27,8B,0.209947987,0.263007698,-0.101435052,0.108551115,-0.03016575,0.114985821,-0.004093947
No,27,2B,-0.079991597,-0.108733457,-0.123487428,-0.123034007,-0.050164279,-0.137814984,-0.036056831
No,27,1B,-0.082610756,0.036159472,0.207970335,0.038722178,-0.57242623,0.047617737,0.014603844
Yes,28,Intact,0.182412329,0.267892871,0.037544233,0.106532403,-0.032459515,0.054381726,-0.004948454
Yes,28,8B,-0.071580533,0.091378411,0.033831891,0.002444444,-0.025206486,-0.059143185,-0.016755438
Yes,28,2B,-0.088841662,-0.128733745,-0.062738414,-0.098312932,-0.058682735,-0.006146902,0.038483089
Yes,28,1B,-0.089662497,-0.130454473,-0.041442941,-0.164443873,-0.043895081,-0.04680963,-0.025479791
No,28,Intact,0.109236615,0.21960262,-0.108797366,0.061080821,0.092945435,0.022007524,0.012395412
No,28,8B,-0.0376,-0.025777778,-0.034153846,-0.039058824,0.138956522,-0.033333333,0.022149254
No,28,2B,0,0,0,0,0,0,0
No,28,1B,-0.062269767,-0.075088974,0.206622491,0.023642593,0.074372771,0.017317515,0.015296445
Yes,29,Intact,0,0,0,0,0,0,0
Yes,29,8B,-0.098776591,0.027484291,-0.09566033,-0.002754362,0.122650354,-0.002967462,0.124700684
Yes,29,2B,0.088443683,0.144518722,0.127259204,0.235313916,0.031795071,0.257708966,0.217001828
Yes,29,1B,0.06779542,0.078346806,0,0.041148243,0.265137441,0.195612067,0.134460485
No,29,Intact,-0.096373564,-0.133840611,-0.050453157,-0.083340695,0.047503077,-0.087313517,-0.070290551
No,29,8B,0.268348497,0.518249027,-0.122013629,0.251727611,0.005724151,0.119756573,0.036672042
No,29,2B,0.047883443,0.169097933,0.063183263,0.402074154,-0.056403657,0.485299626,0.139718017
No,29,1B,0.044619327,0.200414704,0.05156698,0.231984361,0.194238291,0.366961795,0.392326857
Yes,30,Intact,-0.059761317,-0.073072938,0.166130527,-0.087103749,-0.01799343,-0.100250352,-0.018351065
Yes,30,8B,-0.067422383,-0.07947031,-0.08491222,-0.039163509,0.069358397,-0.037470296,0.075394511
Yes,30,2B,0.106424753,0.276490531,0.047542865,0.181516867,0.152415089,0.107291422,0.047364608
Yes,30,1B,-0.08999982,0.000950704,-0.052557123,0.084625663,0.143254128,0.145833617,0.090380684
No,30,Intact,-0.099546491,-0.144690707,0.116736294,-0.135724763,0.139463331,0.0153968,0.071243775
No,30,8B,-0.079666667,0.043923077,-0.126117647,-0.039714286,-0.069902625,-0.099878278,-0.050694431
No,30,2B,-0.084688843,-0.134501527,0.032126925,-0.186404912,0.064992577,-0.118923368,-0.08358152
No,30,1B,0.019956132,-0.049673605,-0.188220076,-0.094507299,-0.169857962,0.077630306,0.000128595
Yes,31,Intact,0.273206452,0.01365625,-0.165839541,-0.078316796,-0.164233548,-0.106440418,-0.124101168
Yes,31,8B,0.224285714,0.196727273,0.178,0.064894737,-0.013822631,0.016367542,0.013956832
Yes,31,2B,0.026837916,0.250214263,0.234641052,0.304623943,-0.071558562,0.416258921,0.174103338
Yes,31,1B,0.170343633,0.06716002,-0.044151127,0.059003573,-0.147684764,-0.024712208,-0.068131241
No,31,Intact,-0.038749026,-0.046933184,0.000831769,-0.010651067,0.010770745,-0.031365777,0.006150455
No,31,8B,-0.045309836,-0.049636964,-0.050451613,0.059224262,-0.049431803,0.010422882,0.007762638
No,31,2B,-0.037016129,-0.04809863,0.09295824,-0.051533041,0.11452982,0.00929982,0.033907809
No,31,1B,-0.035270718,-0.049224957,0.099329693,0.075460659,0.039825306,0.009621949,0.007965624
Yes,32,Intact,0,0,0,0,0,0,0
Yes,32,8B,-0.08524602,0.034315036,-0.019736842,0.044478127,0.007150442,0.114481093,0.03135595
Yes,32,2B,-0.078767367,-0.123093346,0.318029911,-0.146255368,0.070782891,0.04610833,0.071593264
Yes,32,1B,-0.088642233,-0.132881074,-0.164641794,-0.172980806,-0.050430529,-0.110295901,-0.12181493
No,32,Intact,-0.103159847,-0.138859406,0.030102249,-0.105945061,0.075115231,-0.034120804,0.017717257
